Rank,CMC_ID,Name,Symbol,Slug,Price_USD,MarketCap,Volume24h,CirculatingSupply,TotalSupply,MaxSupply,DateAdded,ConfidenceScore,Confidence,Reason,BinanceSymbol,BaseAsset,QuoteAsset,AvailableMarkets,FirstHourlyCandle,LastPrice,24hVolume,Trades24h,PriceChange24h,Status
34,22974,Bittensor,TAO,bittensor,189.3459432850863,2112743789.900152,106052434.98371232,11158114.89406523,21000000,21000000,2023-03-06T05:20:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",TAOUSDT,TAO,USDT,TAOBTC;TAOFDUSD;TAOIDR;TAOJPY;TAOTRY;TAOU;TAOUSD1;TAOUSDC;TAOUSDT,2024-04-11T12:00:00+00:00,192,9387603.775,51329,-0.312,READY
35,21159,Ondo,ONDO,ondo-finance,0.3920868074215896,1909200307.6623333,117342379.43757856,4869330647,10000000000,10000000000,2024-01-18T12:06:25.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",ONDOUSDT,ONDO,USDT,ONDOIDR;ONDOTRY;ONDOUSDC;ONDOUSDT,2025-04-11T14:00:00+00:00,0.3826,10967908.38,66183,-4.014,READY
36,33251,World Liberty Financial,WLFI,world-liberty-financial-wlfi,0.057945092,1841181240.628729,88426907.54191947,31774584760,1E+11,1E+11,2024-10-01T02:34:47.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",WLFIUSDT,WLFI,USDT,WLFIEUR;WLFITRY;WLFIU;WLFIUSD1;WLFIUSDC;WLFIUSDT,2025-09-01T13:00:00+00:00,0.0571,9087017.619,47620,-1.211,READY
37,4705,PAX Gold,PAXG,pax-gold,4066.9880654289286,1809261283.6666543,120001641.21636538,444865.1569,444865.1569,,2019-09-26T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",PAXGUSDT,PAXG,USDT,PAXGBTC;PAXGTRY;PAXGU;PAXGUSD1;PAXGUSDC;PAXGUSDT,2020-08-28T12:00:00+00:00,4054.51,9645490.4,34450,0.343,READY
38,3897,OKB,OKB,okb,81.88612335514553,1719608590.4580562,17139178.11268918,21000000,21000000,21000000,2019-04-30T00:00:00.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
39,36341,Aster,ASTER,aster,0.6355120269774854,1715900963.0530446,47125809.62652437,2700029094.9864817,7816197874.516728,8000000000,2025-04-25T06:46:11.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",ASTERUSDT,ASTER,USDT,ASTERIDR;ASTERTRY;ASTERU;ASTERUSD1;ASTERUSDC;ASTERUSDT,2025-10-06T12:00:00+00:00,0.629,3909085.539,16655,1.125,READY
40,34387,Ripple USD,RLUSD,ripple-usd,1.0004258853554555,1600635873.3511596,160090927.44295973,1599954476.170363,1599954476.170363,,2024-12-18T07:22:18.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",RLUSDUSDT,RLUSD,USDT,RLUSDU;RLUSDUSDT,2026-01-22T08:00:00+00:00,1.0011,62623809.74,4173,0.02,READY
41,35491,MemeCore,M,memecore,1.1867947959718876,1575518647.6578794,14600158.52901356,1327540913.5643022,5394857686.071528,10000000000,2025-07-03T09:16:58.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
42,19891,USDD,USDD,usdd,0.9990107573545378,1537052129.8346465,18850650.02007803,1538574153,1538574153,,2022-05-02T08:07:12.000Z,0,,No Binance Spot Market,,,,,,,,,,NOT_LISTED
43,7278,Aave,AAVE,aave,94.83676612726369,1462150104.304036,169556704.4953192,15417544.94603857,16000000,,2020-10-02T00:00:00.000Z,100,HIGH,"SYMBOL,USDT,TRADING,HIGH_VOLUME",AAVEUSDT,AAVE,USDT,AAVEBTC;AAVEETH;AAVETRY;AAVEU;AAVEUSDC;AAVEUSDT,2020-10-15T03:00:00+00:00,92.05,9598584.423,80240,-3.623,READY
